kind,dataset,n,p,signal,config,median,count
real,gamma,19020.0,9.0,real,citrees,45.055,2
real,gamma,19020.0,9.0,real,citrees_maxt,22.975,2
real,gamma,19020.0,9.0,real,citrees_splitgate_nobonf,1.29,2
real,gisette,6000.0,5000.0,real,citrees,19.38,1
real,gisette,6000.0,5000.0,real,citrees_maxt,17.49,1
real,gisette,6000.0,5000.0,real,citrees_splitgate_nobonf,15.16,1
real,isolet,7797.0,616.0,real,citrees,17.47,1
real,isolet,7797.0,616.0,real,citrees_maxt,9.51,1
real,isolet,7797.0,616.0,real,citrees_splitgate_nobonf,2.83,1
real,letter,20000.0,16.0,real,citrees,2.96,1
real,letter,20000.0,16.0,real,citrees_maxt,2.76,1
real,letter,20000.0,16.0,real,citrees_splitgate_nobonf,1.59,1
real,madelon,2000.0,500.0,real,citrees,22.245,2
real,madelon,2000.0,500.0,real,citrees_maxt,2.5599999999999996,2
real,madelon,2000.0,500.0,real,citrees_splitgate_nobonf,1.93,2
real,musk,6597.0,166.0,real,citrees,8.565,2
real,musk,6597.0,166.0,real,citrees_maxt,7.155,2
real,musk,6597.0,166.0,real,citrees_splitgate_nobonf,1.245,2
real,page-blocks,5473.0,10.0,real,citrees,5.65,2
real,page-blocks,5473.0,10.0,real,citrees_maxt,4.11,2
real,page-blocks,5473.0,10.0,real,citrees_splitgate_nobonf,0.395,2
real,pendigits,10992.0,16.0,real,citrees,6.69,2
real,pendigits,10992.0,16.0,real,citrees_maxt,5.029999999999999,2
real,pendigits,10992.0,16.0,real,citrees_splitgate_nobonf,0.825,2
real,spam,4601.0,57.0,real,citrees,3.435,2
real,spam,4601.0,57.0,real,citrees_maxt,2.76,2
real,spam,4601.0,57.0,real,citrees_splitgate_nobonf,0.48,2
real,vowel-context,990.0,10.0,real,citrees,1.61,2
real,vowel-context,990.0,10.0,real,citrees_maxt,1.295,2
real,vowel-context,990.0,10.0,real,citrees_splitgate_nobonf,0.20500000000000002,2
synthetic,syn,500.0,20.0,strong,citrees,9.43,2
synthetic,syn,500.0,20.0,strong,citrees_maxt,0.485,2
synthetic,syn,500.0,20.0,strong,citrees_splitgate_nobonf,0.165,2
synthetic,syn,500.0,20.0,weak,citrees,9.41,2
synthetic,syn,500.0,20.0,weak,citrees_maxt,0.425,2
synthetic,syn,500.0,20.0,weak,citrees_splitgate_nobonf,0.165,2
synthetic,syn,500.0,100.0,strong,citrees,10.620000000000001,2
synthetic,syn,500.0,100.0,strong,citrees_maxt,0.39,2
synthetic,syn,500.0,100.0,strong,citrees_splitgate_nobonf,0.235,2
synthetic,syn,500.0,100.0,weak,citrees,8.895,2
synthetic,syn,500.0,100.0,weak,citrees_maxt,0.465,2
synthetic,syn,500.0,100.0,weak,citrees_splitgate_nobonf,0.235,2
synthetic,syn,500.0,500.0,strong,citrees,10.105,4
synthetic,syn,500.0,500.0,strong,citrees_maxt,0.95,2
synthetic,syn,500.0,500.0,strong,citrees_splitgate_nobonf,0.765,2
synthetic,syn,500.0,500.0,weak,citrees,9.665,4
synthetic,syn,500.0,500.0,weak,citrees_maxt,1.17,2
synthetic,syn,500.0,500.0,weak,citrees_splitgate_nobonf,0.73,2
synthetic,syn,2000.0,20.0,strong,citrees,31.555,2
synthetic,syn,2000.0,20.0,strong,citrees_maxt,2.39,2
synthetic,syn,2000.0,20.0,strong,citrees_splitgate_nobonf,0.28,2
synthetic,syn,2000.0,20.0,weak,citrees,36.510000000000005,2
synthetic,syn,2000.0,20.0,weak,citrees_maxt,1.68,2
synthetic,syn,2000.0,20.0,weak,citrees_splitgate_nobonf,0.275,2
synthetic,syn,2000.0,100.0,strong,citrees,37.745000000000005,2
synthetic,syn,2000.0,100.0,strong,citrees_maxt,2.34,2
synthetic,syn,2000.0,100.0,strong,citrees_splitgate_nobonf,0.57,2
synthetic,syn,2000.0,100.0,weak,citrees,39.12,2
synthetic,syn,2000.0,100.0,weak,citrees_maxt,1.795,2
synthetic,syn,2000.0,100.0,weak,citrees_splitgate_nobonf,0.575,2
synthetic,syn,2000.0,500.0,strong,citrees,37.31,4
synthetic,syn,2000.0,500.0,strong,citrees_maxt,2.895,2
synthetic,syn,2000.0,500.0,strong,citrees_splitgate_nobonf,1.955,2
synthetic,syn,2000.0,500.0,weak,citrees,33.25,4
synthetic,syn,2000.0,500.0,weak,citrees_maxt,2.835,2
synthetic,syn,2000.0,500.0,weak,citrees_splitgate_nobonf,2.025,2
synthetic,syn,8000.0,20.0,strong,citrees,138.005,2
synthetic,syn,8000.0,20.0,strong,citrees_maxt,6.595000000000001,2
synthetic,syn,8000.0,20.0,strong,citrees_splitgate_nobonf,0.76,2
synthetic,syn,8000.0,20.0,weak,citrees,82.8,2
synthetic,syn,8000.0,20.0,weak,citrees_maxt,6.645,2
synthetic,syn,8000.0,20.0,weak,citrees_splitgate_nobonf,0.75,2
synthetic,syn,8000.0,100.0,strong,citrees,151.74,2
synthetic,syn,8000.0,100.0,strong,citrees_maxt,6.285,2
synthetic,syn,8000.0,100.0,strong,citrees_splitgate_nobonf,1.7,2
synthetic,syn,8000.0,100.0,weak,citrees,100.7,2
synthetic,syn,8000.0,100.0,weak,citrees_maxt,6.135,2
synthetic,syn,8000.0,100.0,weak,citrees_splitgate_nobonf,1.79,2
synthetic,syn,32000.0,20.0,strong,citrees,624.44,2
synthetic,syn,32000.0,20.0,strong,citrees_maxt,25.64,2
synthetic,syn,32000.0,20.0,strong,citrees_splitgate_nobonf,3.0,2
synthetic,syn,32000.0,20.0,weak,citrees,667.0250000000001,2
synthetic,syn,32000.0,20.0,weak,citrees_maxt,31.47,2
synthetic,syn,32000.0,20.0,weak,citrees_splitgate_nobonf,2.94,2
synthetic,syn,32000.0,100.0,strong,citrees,594.1700000000001,2
synthetic,syn,32000.0,100.0,strong,citrees_maxt,20.64,2
synthetic,syn,32000.0,100.0,strong,citrees_splitgate_nobonf,7.22,2
synthetic,syn,32000.0,100.0,weak,citrees,667.435,2
synthetic,syn,32000.0,100.0,weak,citrees_maxt,19.605,2
synthetic,syn,32000.0,100.0,weak,citrees_splitgate_nobonf,6.385,2
